,2020,2021,2022,2023,2024
0,0.667,0.929,0.856,0.849,0.810
1,0.663,0.943,0.851,0.873,0.820
2,0.656,0.966,0.856,0.890,0.819
3,0.654,0.977,0.858,0.909,0.825
4,0.648,0.983,0.885,0.931,0.835
5,0.657,1.008,0.911,0.954,0.847
6,0.665,1.038,0.935,0.983,0.852
7,0.670,1.084,0.959,1.022,0.862
8,0.674,1.129,0.988,1.056,0.888
9,0.678,1.158,1.015,1.099,0.911
10,0.694,1.184,1.041,1.132,0.961
11,0.715,1.223,1.066,1.174,1.014
12,0.740,1.269,1.114,1.216,1.063
13,0.765,1.308,1.157,1.253,1.119
14,0.798,1.350,1.183,1.286,1.166
15,0.821,1.380,1.205,1.311,1.202
16,0.833,1.398,1.221,1.325,1.221
17,0.846,1.400,1.243,1.335,1.238
18,0.863,1.391,1.246,1.346,1.254
19,0.870,1.384,1.244,1.346,1.269
20,0.875,1.363,1.245,1.349,1.277
21,0.878,1.339,1.232,1.347,1.270
22,0.878,1.318,1.220,1.342,1.259
23,0.870,1.309,1.217,1.334,1.242
24,0.865,1.314,1.204,1.313,1.221
25,0.862,1.310,1.185,1.289,1.196
26,0.853,1.292,1.163,1.272,1.177
27,0.840,1.265,1.152,1.259,1.156
28,0.828,1.231,1.133,1.249,1.130
29,0.809,1.204,1.116,1.231,1.111
30,0.793,1.185,1.113,1.219,1.091
31,0.774,1.166,1.105,1.200,1.071
32,0.753,1.154,1.100,1.172,1.056
33,0.743,1.147,1.093,1.148,1.031
34,0.727,1.145,1.080,1.116,1.015
35,0.706,1.134,1.069,1.085,1.013
36,0.682,1.126,1.053,1.047,0.996
37,0.670,1.119,1.034,1.012,0.983
38,0.665,1.130,1.013,0.977,0.975
39,0.654,1.134,0.995,0.943,0.962
40,0.646,1.131,0.974,0.909,0.946
41,0.642,1.118,0.962,0.877,0.933
42,0.641,1.110,0.954,0.857,0.912
43,0.640,1.102,0.940,0.839,0.896
44,0.638,1.108,0.934,0.814,0.877
45,0.644,1.098,0.928,0.801,0.867
46,0.641,1.085,0.926,0.785,0.853
47,0.639,1.088,0.919,0.764,0.836
48,0.642,1.076,0.918,0.761,0.819
49,0.640,1.085,0.912,0.747,0.811
50,0.646,1.083,0.922,0.745,0.798
51,0.650,1.094,0.922,0.744,0.789
52,0.650,1.106,0.917,0.740,0.791
53,0.650,1.115,0.920,0.745,0.786
54,0.647,1.121,0.911,0.745,0.779
55,0.645,1.121,0.921,0.764,0.770
56,0.644,1.139,0.925,0.768,0.769
57,0.642,1.162,0.933,0.776,0.758
58,0.634,1.177,0.944,0.785,0.748
59,0.629,1.183,0.956,0.789,0.741
60,0.635,1.207,0.955,0.806,0.731
61,0.634,1.222,0.946,0.825,0.730
62,0.633,1.227,0.935,0.836,0.720
63,0.637,1.226,0.928,0.842,0.719
64,0.639,1.226,0.916,0.850,0.713
65,0.640,1.218,0.907,0.848,0.706
66,0.641,1.200,0.889,0.844,0.712
67,0.646,1.181,0.871,0.843,0.707
68,0.649,1.159,0.852,0.839,0.705
69,0.651,1.146,0.832,0.837,0.696
70,0.656,1.133,0.807,0.837,0.682
71,0.660,1.109,0.793,0.842,0.679
72,0.663,1.078,0.780,0.858,0.691
73,0.665,1.061,0.785,0.880,0.714
74,0.666,1.050,0.786,0.891,0.730
75,0.668,1.045,0.787,0.896,0.754
76,0.675,1.051,0.784,0.898,0.764
77,0.673,1.046,0.798,0.901,0.775
78,0.686,1.038,0.817,0.900,0.787
79,0.697,1.038,0.836,0.895,0.792
80,0.702,1.037,0.857,0.909,0.789
81,0.706,1.031,0.884,0.918,0.790
82,0.705,1.021,0.904,0.931,0.782
83,0.698,1.004,0.927,0.930,0.783
84,0.700,1.004,0.941,0.932,0.783
85,0.696,1.002,0.953,0.961,0.793
86,0.697,0.994,0.969,0.974,0.795
87,0.696,0.984,0.981,0.986,0.793
88,0.691,0.972,0.990,0.991,0.793
89,0.690,0.975,0.998,0.996,0.794
90,0.685,0.970,0.998,1.006,0.800
91,0.673,0.974,0.994,1.003,0.804
92,0.665,0.970,0.986,0.996,0.803
93,0.651,0.957,0.979,0.998,0.798
94,0.636,0.950,0.973,0.987,0.797
95,0.618,0.951,0.971,0.969,0.795
96,0.604,0.952,0.963,0.967,0.790
97,0.592,0.953,0.956,0.957,0.778
98,0.582,0.943,0.944,0.955,0.775
99,0.574,0.950,0.929,0.952,0.763
100,0.563,0.948,0.908,0.944,0.750
101,0.556,0.943,0.886,0.949,0.737
102,0.546,0.947,0.860,0.945,0.728
103,0.543,0.938,0.829,0.944,0.721
104,0.537,0.923,0.796,0.942,0.706
105,0.537,0.902,0.776,0.947,0.697
106,0.537,0.889,0.758,0.944,0.681
107,0.545,0.885,0.748,0.938,0.676
108,0.547,0.882,0.739,0.939,0.667
109,0.546,0.886,0.727,0.929,0.676
110,0.541,0.900,0.720,0.918,0.677
111,0.553,0.905,0.710,0.910,0.676
112,0.554,0.906,0.704,0.899,0.686
113,0.557,0.910,0.691,0.902,0.700
114,0.557,0.909,0.679,0.897,0.706
115,0.559,0.910,0.677,0.889,0.705
116,0.557,0.919,0.671,0.878,0.717
117,0.554,0.932,0.669,0.866,0.732
118,0.550,0.949,0.664,0.864,0.739
119,0.544,0.957,0.663,0.856,0.738
120,0.537,0.954,0.659,0.862,0.750
121,0.529,0.962,0.659,0.860,0.764
122,0.528,0.968,0.657,0.876,0.776
123,0.527,0.968,0.657,0.892,0.782
124,0.523,0.965,0.665,0.900,0.789
125,0.514,0.958,0.667,0.913,0.795
126,0.506,0.949,0.668,0.925,0.801
