-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Latitude  35.0   Longitude -37.4 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
PS        MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,HR,WD10M,WS10M,PS
2023,1,1,0,356.39,3.6,102.68
2023,1,1,1,351.54,3.03,102.67
2023,1,1,2,342.66,2.73,102.67
2023,1,1,3,336.16,2.94,102.67
2023,1,1,4,332.9,3.02,102.67
2023,1,1,5,326.66,2.46,102.66
2023,1,1,6,320.45,2.21,102.7
2023,1,1,7,317.22,2.28,102.75
2023,1,1,8,307.38,2.12,102.8
2023,1,1,9,276.21,1.95,102.82
2023,1,1,10,272.61,2.4,102.87
2023,1,1,11,284.04,2.87,102.9
2023,1,1,12,283.89,3.03,102.86
2023,1,1,13,274.07,3.2,102.8
2023,1,1,14,267.33,3.53,102.75
2023,1,1,15,268.81,3.75,102.73
2023,1,1,16,273.37,3.72,102.72
2023,1,1,17,275.52,3.57,102.73
2023,1,1,18,274.81,3.36,102.75
2023,1,1,19,273.85,3.14,102.81
2023,1,1,20,271.2,2.99,102.84
2023,1,1,21,262.04,2.99,102.86
2023,1,1,22,248.86,3.29,102.86
2023,1,1,23,238.68,3.88,102.83
2023,1,2,0,233.13,4.61,102.78
2023,1,2,1,233.94,4.98,102.74
2023,1,2,2,236.01,4.95,102.71
2023,1,2,3,236.61,4.88,102.69
2023,1,2,4,236.56,4.88,102.66
2023,1,2,5,233.61,4.87,102.67
2023,1,2,6,228.25,4.97,102.71
2023,1,2,7,223.03,5.14,102.74
2023,1,2,8,218.24,5.3,102.78
2023,1,2,9,213.8,5.46,102.81
2023,1,2,10,209.24,5.69,102.84
2023,1,2,11,207.27,6.0,102.8
2023,1,2,12,206.69,6.35,102.72
2023,1,2,13,207.23,6.66,102.65
2023,1,2,14,208.95,6.81,102.6
2023,1,2,15,211.84,6.8,102.56
2023,1,2,16,215.89,6.66,102.56
2023,1,2,17,219.25,6.51,102.58
2023,1,2,18,220.57,6.44,102.6
2023,1,2,19,220.21,6.62,102.63
2023,1,2,20,218.8,6.91,102.63
2023,1,2,21,217.34,7.17,102.63
2023,1,2,22,215.78,7.42,102.62
2023,1,2,23,214.02,7.57,102.59
2023,1,3,0,211.8,7.62,102.55
2023,1,3,1,209.07,7.61,102.5
2023,1,3,2,207.23,7.56,102.48
2023,1,3,3,206.38,7.6,102.45
2023,1,3,4,205.49,7.82,102.41
2023,1,3,5,204.04,8.17,102.41
2023,1,3,6,201.85,8.46,102.44
2023,1,3,7,200.32,8.51,102.46
2023,1,3,8,200.49,8.39,102.48
2023,1,3,9,200.0,8.34,102.51
2023,1,3,10,198.45,8.29,102.53
2023,1,3,11,197.82,8.25,102.49
2023,1,3,12,197.98,8.15,102.4
2023,1,3,13,199.82,8.0,102.32
2023,1,3,14,201.97,7.81,102.26
2023,1,3,15,203.52,7.57,102.23
2023,1,3,16,204.94,7.38,102.23
2023,1,3,17,206.73,7.31,102.26
2023,1,3,18,208.32,7.41,102.31
2023,1,3,19,207.46,7.59,102.36
2023,1,3,20,205.65,7.83,102.36
2023,1,3,21,203.88,8.13,102.34
2023,1,3,22,202.95,8.42,102.29
2023,1,3,23,203.71,8.78,102.23
2023,1,4,0,206.25,8.97,102.18
